timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-07_06-24-41,nltk,long-lambda-expr,13d438e9,original,30,38.51,0.0,16.1
2025-08-07_06-25-22,nltk,long-lambda-expr,13d438e9,original,30,41.08,0.0,16.1
2025-08-07_06-26-17,nltk,long-lambda-expr,13d438e9,original,30,54.07,0.0,16.1
2025-08-07_06-26-59,nltk,long-lambda-expr,13d438e9,original,30,41.81,0.0,16.1
2025-08-07_06-27-31,nltk,long-lambda-expr,13d438e9,original,30,31.88,0.0,16.1
2025-08-07_06-28-00,nltk,long-lambda-expr,13d438e9,original,30,29.69,0.0,16.1
2025-08-07_06-28-30,nltk,long-lambda-expr,13d438e9,original,30,29.90,0.0,16.1
2025-08-07_06-29-00,nltk,long-lambda-expr,13d438e9,original,30,29.74,0.0,16.1
2025-08-07_06-29-30,nltk,long-lambda-expr,13d438e9,original,30,29.96,0.0,16.1
2025-08-07_06-30-03,nltk,long-lambda-expr,13d438e9,original,30,32.63,0.0,16.1
2025-08-07_06-30-39,nltk,long-lambda-expr,13d438e9,original,30,36.09,0.0,16.1
2025-08-07_06-31-13,nltk,long-lambda-expr,13d438e9,original,30,33.26,0.0,16.1
2025-08-07_06-31-45,nltk,long-lambda-expr,13d438e9,original,30,32.68,0.0,16.1
2025-08-07_06-32-19,nltk,long-lambda-expr,13d438e9,original,30,33.10,0.0,16.1
2025-08-07_06-32-49,nltk,long-lambda-expr,13d438e9,original,30,30.50,0.0,16.1
2025-08-07_06-33-22,nltk,long-lambda-expr,13d438e9,original,30,33.10,0.0,16.1
2025-08-07_06-33-52,nltk,long-lambda-expr,13d438e9,original,30,29.84,0.0,16.1
2025-08-07_06-34-22,nltk,long-lambda-expr,13d438e9,original,30,30.14,0.0,16.1
2025-08-07_06-34-53,nltk,long-lambda-expr,13d438e9,original,30,29.92,0.0,16.1
2025-08-07_06-35-22,nltk,long-lambda-expr,13d438e9,original,30,29.62,0.0,16.2
2025-08-07_06-35-52,nltk,long-lambda-expr,13d438e9,original,30,29.72,0.0,16.2
2025-08-07_06-36-22,nltk,long-lambda-expr,13d438e9,original,30,29.68,0.0,16.2
2025-08-07_06-36-52,nltk,long-lambda-expr,13d438e9,original,30,30.01,0.0,16.2
2025-08-07_06-37-22,nltk,long-lambda-expr,13d438e9,original,30,29.64,0.0,16.2
2025-08-07_06-37-51,nltk,long-lambda-expr,13d438e9,original,30,29.48,0.0,16.2
2025-08-07_06-38-21,nltk,long-lambda-expr,13d438e9,original,30,29.58,0.0,16.2
2025-08-07_06-38-51,nltk,long-lambda-expr,13d438e9,original,30,29.80,0.0,16.2
2025-08-07_06-39-21,nltk,long-lambda-expr,13d438e9,original,30,29.63,0.0,16.2
2025-08-07_06-39-51,nltk,long-lambda-expr,13d438e9,original,30,29.88,0.0,16.2
2025-08-07_06-40-20,nltk,long-lambda-expr,13d438e9,original,30,29.50,0.0,16.2
