timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-08-13T18:31:51,synth-benchmark,fa2b09db-0333-453c-86ef-49bdf06c880b,synth_LMC001_886a20f4,2.1023139911703765,4.124522308849896e-07,1.961896427542557e-07,0.0,0.0,10.0,1.5656279698842106e-07,0.0,8.619016583543271e-06,8.775579380531693e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:31:54,synth-benchmark,93d00b6b-24c0-40a8-b033-14a768d59c3c,synth_LMC001_886a20f4,2.1152980970218778,4.161596481665814e-07,1.967380620029353e-07,0.0,0.0,10.0,1.9729354933628605e-07,0.0,8.65716704995268e-06,8.854460599288965e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:31:57,synth-benchmark,0b9b8552-9b17-46d6-a36c-f21ae139c499,synth_LMC001_886a20f4,2.0958316870965064,4.10608122498167e-07,1.959165542854301e-07,0.0,0.0,10.0,1.2136638596291756e-07,0.0,8.614976645912976e-06,8.736343031875894e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:01,synth-benchmark,99d731db-4e0b-4eb5-b1ec-690fb52fddad,synth_LMC001_886a20f4,2.1016929717734456,4.1267249849089933e-07,1.96352418756332e-07,0.0,0.0,10.0,1.244518788324462e-07,0.0,8.655814046505838e-06,8.780265925338284e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:04,synth-benchmark,4e5c7bc3-ce71-4fcc-ab92-960dcb646de5,synth_LMC001_886a20f4,2.134702176786959,4.217571989008223e-07,1.9757191587991405e-07,0.0,0.0,10.0,2.331694112410252e-07,0.0,8.740388012180726e-06,8.97355742342175e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:07,synth-benchmark,6cf28c13-0a05-463c-9bde-76663a5e3f9b,synth_LMC001_886a20f4,2.085752598941326,4.077258637708385e-07,1.954814123102565e-07,0.0,0.0,10.0,7.834195431942743e-08,0.0,8.596676423783519e-06,8.675018378102946e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:10,synth-benchmark,038463d0-b369-4c55-b067-2d0fa52f6c4e,synth_LMC001_886a20f4,2.076400493271649,4.03375874611604e-07,1.942668940402875e-07,0.0,0.0,10.0,1.5755593413487082e-08,0.0,8.566709823854682e-06,8.58246541726817e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:14,synth-benchmark,b820505d-ba20-4cce-8e38-b8733e1febf7,synth_LMC001_886a20f4,2.1132822860963643,4.1548352047760034e-07,1.966057839083475e-07,0.0,0.0,10.0,1.719341704746088e-07,0.0,8.668140733304122e-06,8.840074903778731e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:17,synth-benchmark,8f8367f5-6dd2-43ae-85dd-19f619d259f1,synth_LMC001_886a20f4,2.0886469120159745,4.0913014813661706e-07,1.9588286836941826e-07,0.0,0.0,10.0,1.0143299033322061e-07,0.0,8.603463778530972e-06,8.704896768864193e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:20,synth-benchmark,10903ecf-df36-4339-a567-13bcfc31a9d4,synth_LMC001_886a20f4,2.1024775938130915,4.134972326317122e-07,1.966714098873159e-07,0.0,0.0,10.0,1.521060939854943e-07,0.0,8.6457073662637e-06,8.797813460249195e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:23,synth-benchmark,946ad4bf-2e8d-46d5-836d-1aa31649b183,synth_LMC001_886a20f4,2.0691108629107475,4.03383757520674e-07,1.9495512045846053e-07,0.0,0.0,10.0,0.0,0.0,8.582633138737744e-06,8.582633138737744e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:26,synth-benchmark,af7f6caf-8f59-4c74-bdd6-74850a5cff3f,synth_LMC001_886a20f4,2.121802101843059,4.14664186020268e-07,1.9543018911145322e-07,0.0,0.0,10.0,1.51246812629203e-07,0.0,8.67139544312118e-06,8.822642255750383e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:30,synth-benchmark,8d5e927e-2fbc-45f8-80a9-211800ce5b6b,synth_LMC001_886a20f4,2.100824831984937,4.130457173730145e-07,1.9661121245542088e-07,0.0,0.0,10.0,1.5993224577978252e-07,0.0,8.628274506837545e-06,8.788206752617327e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:33,synth-benchmark,ed51702b-a73d-47f9-9417-14f25d4d87d7,synth_LMC001_886a20f4,2.0726885171607137,4.055026540494085e-07,1.9564090344114465e-07,0.0,0.0,10.0,7.857437964994459e-08,0.0,8.54914166395449e-06,8.627716043604435e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:36,synth-benchmark,70172082-761c-4ec1-b911-bd353a1777c0,synth_LMC001_886a20f4,2.133317967876792,4.213755320323412e-07,1.975212032980343e-07,0.0,0.0,10.0,2.3118697840642805e-07,0.0,8.734249873345512e-06,8.96543685175194e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:39,synth-benchmark,35b4bccb-7a9a-4045-aaed-311278c88146,synth_LMC001_886a20f4,2.0875745019875467,4.109971706663533e-07,1.968778456888841e-07,0.0,0.0,10.0,1.2157879833908133e-07,0.0,8.62304185413652e-06,8.744620652475602e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:42,synth-benchmark,e8076150-e4e7-4e7b-bad6-c5b09dbf995e,synth_LMC001_886a20f4,2.0658410587348044,4.0662268650599443e-07,1.968315446082889e-07,0.0,0.0,10.0,6.868272510874602e-08,0.0,8.582863796295392e-06,8.651546521404137e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:46,synth-benchmark,438f271e-a19c-433d-834a-128974f5f308,synth_LMC001_886a20f4,2.1142767257988453,4.1393383839953067e-07,1.9578035048516768e-07,0.0,0.0,10.0,1.3619720777496698e-07,0.0,8.670905736895898e-06,8.807102944670865e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
2025-08-13T18:32:49,synth-benchmark,8a657a0e-801d-4924-8179-c3002070f335,synth_LMC001_886a20f4,2.08739056577906,4.101795632319732e-07,1.9650350536047629e-07,0.0,0.0,10.0,1.233903642019464e-07,0.0,8.603834385414504e-06,8.727224749616451e-06,Canada,CAN,,gcp,northamerica-northeast2,Linux-6.8.0-1032-gcp-x86_64-with-glibc2.35,3.10.12,3.0.4,2,Intel(R) Xeon(R) CPU @ 2.60GHz,,,,,15.61648178100586,process,Y,1.0
