Repository,long-element-chain,long-lambda-expr,long-message-chain,no-self-use,string-concat-loop,too-many-arguments,use-a-generator,Total Smells
nltk,68,34,34,262,47,110,1,556
requests,0,0,0,7,0,6,0,13
librosa,0,0,1,0,0,94,0,95
django,10,3,48,469,9,139,2,680
mitmproxy,20,1,9,216,3,13,2,264
dask,7,1,24,27,8,150,7,224
geopandas,2,1,3,1,1,24,0,32
tqdm,0,0,0,0,0,2,0,2
ansible,41,1,26,240,24,83,0,415
beautifulsoup,0,0,0,20,0,8,0,28
taichi,0,0,40,3,8,27,1,79
SeleniumBase,29,10,12,51,23,41,3,169
keras,0,9,10,427,17,329,3,795
pandas,1,6,44,90,7,378,0,526
gunicorn,0,0,0,14,0,1,0,15
fastapi,0,0,2,0,2,52,0,56
airflow,114,25,492,329,21,1661,13,2655
numpy,44,4,15,65,21,129,4,282
tornado,0,0,0,57,0,20,0,77
uvicorn,2,0,1,1,0,6,0,10
celery,2,0,9,124,1,107,0,243
gpiozero,0,1,3,15,0,24,0,43
matplotlib,6,6,81,135,3,269,1,501
seaborn,0,0,14,56,1,64,3,138
pytest,0,0,8,52,3,39,0,102
paho.mqtt.python,0,0,3,3,1,11,0,18
streamlit,1,8,13,56,0,165,0,243
flask,1,1,0,16,0,6,0,24
rclpy,0,0,1,17,0,18,0,36
sanic,0,2,6,22,0,58,0,88
tensorflow,20,29,64,375,28,386,7,909
scrapy,0,5,4,121,4,25,0,159
pytorch,94,332,518,1178,122,1492,5,3741
scipy,14,47,28,251,24,604,10,978
geopy,17,0,0,45,0,53,0,115
cryptography,0,0,0,20,0,10,0,30
scikit-learn,7,4,39,75,8,442,4,579
black,2,0,2,3,3,4,0,14
glances,23,4,8,103,10,8,0,156
