SUMMARY STATISTICS

Total repos processed:,39
Total smells detected:,15090

SMELL TYPE BREAKDOWN
Smell Type,Total Count
long-element-chain,525
long-lambda-expr,534
long-message-chain,1562
no-self-use,4946
string-concat-loop,399
too-many-arguments,7058
use-a-generator,66

THRESHOLD BREAKDOWN
Smell Type,Threshold,Count
long-element-chain,3/3,448
long-element-chain,4/3,63
long-element-chain,5/3,9
long-element-chain,6/3,3
long-element-chain,7/3,2
long-message-chain,10/3,2
long-message-chain,11/3,1
long-message-chain,12/3,4
long-message-chain,13/3,2
long-message-chain,14/3,1
long-message-chain,3/3,1158
long-message-chain,33/3,1
long-message-chain,4/3,268
long-message-chain,5/3,72
long-message-chain,6/3,31
long-message-chain,66/3,1
long-message-chain,7/3,2
long-message-chain,8/3,15
long-message-chain,9/3,4
too-many-arguments,10/6,639
too-many-arguments,105/6,1
too-many-arguments,11/6,479
too-many-arguments,12/6,321
too-many-arguments,13/6,242
too-many-arguments,14/6,205
too-many-arguments,15/6,178
too-many-arguments,16/6,106
too-many-arguments,160/6,1
too-many-arguments,17/6,109
too-many-arguments,18/6,49
too-many-arguments,19/6,42
too-many-arguments,20/6,28
too-many-arguments,21/6,23
too-many-arguments,22/6,32
too-many-arguments,23/6,19
too-many-arguments,24/6,35
too-many-arguments,25/6,23
too-many-arguments,26/6,8
too-many-arguments,27/6,8
too-many-arguments,28/6,14
too-many-arguments,29/6,7
too-many-arguments,30/6,14
too-many-arguments,31/6,5
too-many-arguments,32/6,4
too-many-arguments,33/6,3
too-many-arguments,34/6,3
too-many-arguments,35/6,1
too-many-arguments,36/6,1
too-many-arguments,37/6,2
too-many-arguments,38/6,2
too-many-arguments,40/6,1
too-many-arguments,41/6,1
too-many-arguments,42/6,2
too-many-arguments,44/6,2
too-many-arguments,45/6,2
too-many-arguments,47/6,3
too-many-arguments,48/6,1
too-many-arguments,49/6,1
too-many-arguments,50/6,3
too-many-arguments,51/6,4
too-many-arguments,52/6,2
too-many-arguments,54/6,2
too-many-arguments,55/6,2
too-many-arguments,57/6,1
too-many-arguments,58/6,1
too-many-arguments,60/6,2
too-many-arguments,67/6,1
too-many-arguments,7/6,2030
too-many-arguments,75/6,1
too-many-arguments,8/6,1366
too-many-arguments,9/6,1026

REPO BREAKDOWN
Repository,Total Smells,Smell Types Present,Smell Types Under Threshold,Smell Types Missing
pytorch,3741,7,use-a-generator:5,
airflow,2655,7,,
scipy,978,7,,
tensorflow,909,7,,
keras,795,6,"long-element-chain:0, use-a-generator:3",long-element-chain
django,680,7,"long-lambda-expr:3, use-a-generator:2",
scikit-learn,579,7,"long-lambda-expr:4, use-a-generator:4",
nltk,556,7,use-a-generator:1,
pandas,526,6,"long-element-chain:1, use-a-generator:0",use-a-generator
matplotlib,501,7,"string-concat-loop:3, use-a-generator:1",
ansible,415,6,"long-lambda-expr:1, use-a-generator:0",use-a-generator
numpy,282,7,"long-lambda-expr:4, use-a-generator:4",
mitmproxy,264,7,"long-lambda-expr:1, string-concat-loop:3, use-a-generator:2",
celery,243,5,"long-element-chain:2, long-lambda-expr:0, string-concat-loop:1, use-a-generator:0","long-lambda-expr, use-a-generator"
streamlit,243,5,"long-element-chain:1, string-concat-loop:0, use-a-generator:0","string-concat-loop, use-a-generator"
dask,224,7,long-lambda-expr:1,
SeleniumBase,169,7,use-a-generator:3,
scrapy,159,5,"long-element-chain:0, long-lambda-expr:5, long-message-chain:4, string-concat-loop:4, use-a-generator:0, cached-repeated-calls:3","long-element-chain, use-a-generator"
glances,156,6,"long-lambda-expr:4, use-a-generator:0",use-a-generator
seaborn,138,5,"long-element-chain:0, long-lambda-expr:0, string-concat-loop:1, use-a-generator:3","long-element-chain, long-lambda-expr"
geopy,115,3,"long-lambda-expr:0, long-message-chain:0, string-concat-loop:0, use-a-generator:0, cached-repeated-calls:2","long-lambda-expr, long-message-chain, string-concat-loop, use-a-generator"
pytest,102,4,"long-element-chain:0, long-lambda-expr:0, string-concat-loop:3, use-a-generator:0","long-element-chain, long-lambda-expr, use-a-generator"
librosa,95,2,"long-element-chain:0, long-lambda-expr:0, long-message-chain:1, no-self-use:0, string-concat-loop:0, use-a-generator:0","long-element-chain, long-lambda-expr, no-self-use, string-concat-loop, use-a-generator"
